GELAI,GELAIQ,LA,LAQ
333,Father+Child+Partner+Grandchild+Non-relative,52,With partner and children extended mix
334,Mother+Child+Partner+Grandchild+Non-relative,52,With partner and children extended mix
335,Father+Mother+Child+Partner+Grandchild+Non-relative,52,With partner and children extended mix
336,Sibling+Grandchild+Non-relative,71,Extended mix
337,Father+Sibling+Grandchild+Non-relative,22,With single parent extended mix
338,Mother+Sibling+Grandchild+Non-relative,22,With single parent extended mix
339,Father+Mother+Sibling+Grandchild+Non-relative,32,With parents extended mix
340,Child+Sibling+Grandchild+Non-relative,62,With children extended mix
341,Father+Child+Sibling+Grandchild+Non-relative,62,With children extended mix
342,Mother+Child+Sibling+Grandchild+Non-relative,62,With children extended mix
343,Father+Mother+Child+Sibling+Grandchild+Non-relative,62,With children extended mix
344,Partner+Sibling+Grandchild+Non-relative,42,With partner extended mix
345,Father+Partner+Sibling+Grandchild+Non-relative,42,With partner extended mix
346,Mother+Partner+Sibling+Grandchild+Non-relative,42,With partner extended mix
347,Father+Mother+Partner+Sibling+Grandchild+Non-relative,42,With partner extended mix
348,Child+Partner+Sibling+Grandchild+Non-relative,52,With partner and children extended mix
349,Father+Child+Partner+Sibling+Grandchild+Non-relative,52,With partner and children extended mix
350,Mother+Child+Partner+Sibling+Grandchild+Non-relative,52,With partner and children extended mix
351,Father+Mother+Child+Partner+Sibling+Grandchild+Non-relative,52,With partner and children extended mix
352,Grandaparent+Grandchild+Non-relative,71,Extended mix
353,Father+Grandaparent+Grandchild+Non-relative,22,With single parent extended mix
354,Mother+Grandaparent+Grandchild+Non-relative,22,With single parent extended mix
355,Father+Mother+Grandaparent+Grandchild+Non-relative,32,With parents extended mix
356,Child+Grandaparent+Grandchild+Non-relative,62,With children extended mix
357,Father+Child+Grandaparent+Grandchild+Non-relative,62,With children extended mix
358,Mother+Child+Grandaparent+Grandchild+Non-relative,62,With children extended mix
359,Father+Mother+Child+Grandaparent+Grandchild+Non-relative,62,With children extended mix
360,Partner+Grandaparent+Grandchild+Non-relative,42,With partner extended mix
361,Father+Partner+Grandaparent+Grandchild+Non-relative,42,With partner extended mix
362,Mother+Partner+Grandaparent+Grandchild+Non-relative,42,With partner extended mix
363,Father+Mother+Partner+Grandaparent+Grandchild+Non-relative,42,With partner extended mix
364,Child+Partner+Grandaparent+Grandchild+Non-relative,52,With partner and children extended mix
365,Father+Child+Partner+Grandaparent+Grandchild+Non-relative,52,With partner and children extended mix
366,Mother+Child+Partner+Grandaparent+Grandchild+Non-relative,52,With partner and children extended mix
367,Father+Mother+Child+Partner+Grandaparent+Grandchild+Non-relative,52,With partner and children extended mix
368,Sibling+Grandaparent+Grandchild+Non-relative,71,Extended mix
369,Father+Sibling+Grandaparent+Grandchild+Non-relative,22,With single parent extended mix
370,Mother+Sibling+Grandaparent+Grandchild+Non-relative,22,With single parent extended mix
371,Father+Mother+Sibling+Grandaparent+Grandchild+Non-relative,32,With parents extended mix
372,Child+Sibling+Grandaparent+Grandchild+Non-relative,62,With children extended mix
373,Father+Child+Sibling+Grandaparent+Grandchild+Non-relative,62,With children extended mix
374,Mother+Child+Sibling+Grandaparent+Grandchild+Non-relative,62,With children extended mix
375,Father+Mother+Child+Sibling+Grandaparent+Grandchild+Non-relative,62,With children extended mix
376,Partner+Sibling+Grandaparent+Grandchild+Non-relative,42,With partner extended mix
377,Father+Partner+Sibling+Grandaparent+Grandchild+Non-relative,42,With partner extended mix
378,Mother+Partner+Sibling+Grandaparent+Grandchild+Non-relative,42,With partner extended mix
379,Father+Mother+Partner+Sibling+Grandaparent+Grandchild+Non-relative,42,With partner extended mix
380,Child+Partner+Sibling+Grandaparent+Grandchild+Non-relative,52,With partner and children extended mix
381,Father+Child+Partner+Sibling+Grandaparent+Grandchild+Non-relative,52,With partner and children extended mix
382,Mother+Child+Partner+Sibling+Grandaparent+Grandchild+Non-relative,52,With partner and children extended mix
383,Father+Mother+Child+Partner+Sibling+Grandaparent+Grandchild+Non-relative,52,With partner and children extended mix
384,Other relative+Non-relative,71,Extended mix
385,Father+Other relative+Non-relative,22,With single parent extended mix
386,Mother+Other relative+Non-relative,22,With single parent extended mix
387,Father+Mother+Other relative+Non-relative,32,With parents extended mix
388,Child+Other relative+Non-relative,62,With children extended mix
389,Father+Child+Other relative+Non-relative,62,With children extended mix
390,Mother+Child+Other relative+Non-relative,62,With children extended mix
391,Father+Mother+Child+Other relative+Non-relative,62,With children extended mix
392,Partner+Other relative+Non-relative,42,With partner extended mix
393,Father+Partner+Other relative+Non-relative,42,With partner extended mix
394,Mother+Partner+Other relative+Non-relative,42,With partner extended mix
395,Father+Mother+Partner+Other relative+Non-relative,42,With partner extended mix
396,Child+Partner+Other relative+Non-relative,52,With partner and children extended mix
397,Father+Child+Partner+Other relative+Non-relative,52,With partner and children extended mix
398,Mother+Child+Partner+Other relative+Non-relative,52,With partner and children extended mix
399,Father+Mother+Child+Partner+Other relative+Non-relative,52,With partner and children extended mix
400,Sibling+Other relative+Non-relative,71,Extended mix
401,Father+Sibling+Other relative+Non-relative,22,With single parent extended mix
402,Mother+Sibling+Other relative+Non-relative,22,With single parent extended mix
403,Father+Mother+Sibling+Other relative+Non-relative,32,With parents extended mix
404,Child+Sibling+Other relative+Non-relative,62,With children extended mix
405,Father+Child+Sibling+Other relative+Non-relative,62,With children extended mix
