LAV,LAVQ,LAT,LATQ,Father,Mother,Sibling,Granchild,Granparent,Other relative,Non-relative,LAI
189,Father+Child+Partner+Sibling+Grandaparent+Other relative,51,With partner and children extended,1,0,3,0,5,6,0,511030560
93,Father+Child+Partner+Sibling+Grandchild,51,With partner and children extended,1,0,3,4,0,0,0,511034000
221,Father+Child+Partner+Sibling+Grandchild+Other relative,51,With partner and children extended,1,0,3,4,0,6,0,511034060
157,Father+Child+Partner+Sibling+Other relative,51,With partner and children extended,1,0,3,0,0,6,0,511030060
15,Father+Mother+Child+Partner,51,With partner and children extended,1,2,0,0,0,0,0,511200000
47,Father+Mother+Child+Partner+Grandaparent,51,With partner and children extended,1,2,0,0,5,0,0,511200500
111,Father+Mother+Child+Partner+Grandaparent+Grandchild,51,With partner and children extended,1,2,0,4,5,0,0,511204500
239,Father+Mother+Child+Partner+Grandaparent+Grandchild+Other relative,51,With partner and children extended,1,2,0,4,5,6,0,511204560
175,Father+Mother+Child+Partner+Grandaparent+Other relative,51,With partner and children extended,1,2,0,0,5,6,0,511200560
79,Father+Mother+Child+Partner+Grandchild,51,With partner and children extended,1,2,0,4,0,0,0,511204000
207,Father+Mother+Child+Partner+Grandchild+Other relative,51,With partner and children extended,1,2,0,4,0,6,0,511204060
143,Father+Mother+Child+Partner+Other relative,51,With partner and children extended,1,2,0,0,0,6,0,511200060
31,Father+Mother+Child+Partner+Sibling,51,With partner and children extended,1,2,3,0,0,0,0,511230000
63,Father+Mother+Child+Partner+Sibling+Grandaparent,51,With partner and children extended,1,2,3,0,5,0,0,511230500
127,Father+Mother+Child+Partner+Sibling+Grandaparent+Grandchild,51,With partner and children extended,1,2,3,4,5,0,0,511234500
255,Father+Mother+Child+Partner+Sibling+Grandaparent+Grandchild+Other relative,51,With partner and children extended,1,2,3,4,5,6,0,511234560
191,Father+Mother+Child+Partner+Sibling+Grandaparent+Other relative,51,With partner and children extended,1,2,3,0,5,6,0,511230560
95,Father+Mother+Child+Partner+Sibling+Grandchild,51,With partner and children extended,1,2,3,4,0,0,0,511234000
223,Father+Mother+Child+Partner+Sibling+Grandchild+Other relative,51,With partner and children extended,1,2,3,4,0,6,0,511234060
159,Father+Mother+Child+Partner+Sibling+Other relative,51,With partner and children extended,1,2,3,0,0,6,0,511230060
